"center_code_anon","source_key_type","source_key_value","center_name","ministry","first_year_be","last_year_be","record_count"
"SCH_G3_0001","user_code","7222021101","รร.ตชด.บ้านน้ำแดง","สำนักงานตำรวจแห่งชาติ","2563","2567","3"
"SCH_G3_0002","user_code","7222051102","รร.ตชด.บ้านคลองมะลิประเวศน์วิทยา","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0003","user_code","7222071103","รร.ตชด.สิงคโปร์แอร์ไลน์สฯ","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0004","user_code","7222081104","รร.ตชด.บ้านบ่อชะอม","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0005","user_code","7222081105","รร.ตชด.บ้านหางแมว","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0006","user_code","7222081108","รร.ตชด.บ้านคลองแดง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0007","user_code","7223011106","รร.ตชด.บ้านท่ากุ่ม","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0008","user_code","7223031107","รร.ตชด.บ้านเขาฉลาด","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0009","user_code","7224081210","รร.ตชด.บ้านนายาว","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0010","user_code","7224081211","รร.ตชด.บ้านนาอิสาน","สำนักงานตำรวจแห่งชาติ","2565","2568","4"
"SCH_G3_0011","user_code","7227021205","รร.ตชด.การบินไทย","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0012","user_code","7227041208","รร.ตชด.บ้านคลองตะเคียนชัย","สำนักงานตำรวจแห่งชาติ","2564","2568","5"
"SCH_G3_0013","user_code","7227061201","รร.ตชด.บ้านเขาสารภี","สำนักงานตำรวจแห่งชาติ","2564","2568","5"
"SCH_G3_0014","user_code","7227061206","รร.ตชด.ประชารัฐบำรุง 1","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
