"sheet_name","column_name","role","data_type","description"
"model_dataset_benchmark","ministry","feature","string_or_numeric","Benchmark feature: ministry"
"model_dataset_benchmark","affiliation_1","feature","string_or_numeric","Benchmark feature: affiliation_1"
"model_dataset_benchmark","affiliation_2","feature","string_or_numeric","Benchmark feature: affiliation_2"
"model_dataset_benchmark","affiliation_3","feature","string_or_numeric","Benchmark feature: affiliation_3"
"model_dataset_benchmark","indicator_1_1_1","feature","string_or_numeric","Benchmark feature: indicator_1_1_1"
"model_dataset_benchmark","indicator_1_1_2","feature","string_or_numeric","Benchmark feature: indicator_1_1_2"
"model_dataset_benchmark","indicator_1_1_3","feature","string_or_numeric","Benchmark feature: indicator_1_1_3"
"model_dataset_benchmark","indicator_1_2_1","feature","string_or_numeric","Benchmark feature: indicator_1_2_1"
"model_dataset_benchmark","indicator_1_2_2","feature","string_or_numeric","Benchmark feature: indicator_1_2_2"
"model_dataset_benchmark","indicator_1_2_3","feature","string_or_numeric","Benchmark feature: indicator_1_2_3"
"model_dataset_benchmark","indicator_1_2_4","feature","string_or_numeric","Benchmark feature: indicator_1_2_4"
"model_dataset_benchmark","indicator_1_3_1","feature","string_or_numeric","Benchmark feature: indicator_1_3_1"
"model_dataset_benchmark","indicator_1_3_2","feature","string_or_numeric","Benchmark feature: indicator_1_3_2"
"model_dataset_benchmark","indicator_1_3_3","feature","string_or_numeric","Benchmark feature: indicator_1_3_3"
"model_dataset_benchmark","indicator_1_3_4","feature","string_or_numeric","Benchmark feature: indicator_1_3_4"
"model_dataset_benchmark","indicator_1_3_5","feature","string_or_numeric","Benchmark feature: indicator_1_3_5"
"model_dataset_benchmark","indicator_1_3_6","feature","string_or_numeric","Benchmark feature: indicator_1_3_6"
"model_dataset_benchmark","indicator_1_3_7","feature","string_or_numeric","Benchmark feature: indicator_1_3_7"
"model_dataset_benchmark","indicator_1_3_8","feature","string_or_numeric","Benchmark feature: indicator_1_3_8"
"model_dataset_benchmark","indicator_1_4_1","feature","string_or_numeric","Benchmark feature: indicator_1_4_1"
"model_dataset_benchmark","indicator_1_4_2","feature","string_or_numeric","Benchmark feature: indicator_1_4_2"
"model_dataset_benchmark","indicator_1_4_3","feature","string_or_numeric","Benchmark feature: indicator_1_4_3"
"model_dataset_benchmark","indicator_1_4_4","feature","string_or_numeric","Benchmark feature: indicator_1_4_4"
"model_dataset_benchmark","indicator_1_4_5","feature","string_or_numeric","Benchmark feature: indicator_1_4_5"
