"item_code","feature_column","indicator_text","source_row","source_raw"
"1.1.1","indicator_1_1_1","บริหารจัดการสถานพัฒนาเด็กปฐมวัยอย่างเป็นระบบ","5","(1)1.1.1 บริหารจัดการสถานพัฒนาเด็กปฐมวัยอย่างเป็นระบบ"
"1.1.2","indicator_1_1_2","บริหารหลักสูตรสถานพัฒนาเด็กปฐมวัย","6","(2)1.1.2 บริหารหลักสูตรสถานพัฒนาเด็กปฐมวัย"
"1.1.3","indicator_1_1_3","บริหารจัดการข้อมูลอย่างเป็นระบบ","7","(3)1.1.3 บริหารจัดการข้อมูลอย่างเป็นระบบ"
"1.2.1","indicator_1_2_1","บริหารจัดการบุคลากรอย่างเป็นระบบ","8","(4)1.2.1 บริหารจัดการบุคลากรอย่างเป็นระบบ"
"1.2.2","indicator_1_2_2","ผู้บริหารสถานพัฒนาเด็กปฐมวัย/หัวหน้าระดับปฐมวัย/ผู้ดำเนินกิจการ มีคุณวุฒิ/คุณสมบัติเหมาะสม และบริหารงานอย่างมีประสิทธิภาพ","9","(5)1.2.2 ผู้บริหารสถานพัฒนาเด็กปฐมวัย/หัวหน้าระดับปฐมวัย/ผู้ดำเนินกิจการ มีคุณวุฒิ/คุณสมบัติเหมาะสม และบริหารงานอย่างมีประสิทธิภาพ"
"1.2.3","indicator_1_2_3","ครู/ผู้ดูแลเด็กที่ทำหน้าที่หลักในการดูแลและพัฒนาเด็กปฐมวัย มีวุฒิการศึกษา/คุณสมบัติเหมาะสม","10","(6)1.2.3 ครู/ผู้ดูแลเด็กที่ทำหน้าที่หลักในการดูแลและพัฒนาเด็กปฐมวัย มีวุฒิการศึกษา/คุณสมบัติเหมาะสม"
"1.2.4","indicator_1_2_4","บริหารบุคลากรจัดอัตราส่วนของครู/ผู้ดูแลเด็กอย่างเหมาะสม พอเพียงต่อจำนวนเด็กในแต่ละกลุ่มอายุ","11","(7)1.2.4 บริหารบุคลากรจัดอัตราส่วนของครู/ผู้ดูแลเด็กอย่างเหมาะสม พอเพียงต่อจำนวนเด็กในแต่ละกลุ่มอายุ"
"1.3.1","indicator_1_3_1","บริหารจัดการด้านสภาพแวดล้อมเพื่อความปลอดภัยอย่างเป็นระบบ","12","(8)1.3.1 บริหารจัดการด้านสภาพแวดล้อมเพื่อความปลอดภัยอย่างเป็นระบบ"
"1.3.2","indicator_1_3_2","โครงสร้างและตัวอาคารมั่นคง ตั้งอยู่ในบริเวณและสภาพแวดล้อมที่ปลอดภัย","13","(9)1.3.2 โครงสร้างและตัวอาคารมั่นคง ตั้งอยู่ในบริเวณและสภาพแวดล้อมที่ปลอดภัย"
"1.3.3","indicator_1_3_3","จัดการความปลอดภัยของพื้นที่เล่น/สนามเด็กเล่น และสภาพแวดล้อมภายนอกอาคาร","14","(10)1.3.3 จัดการความปลอดภัยของพื้นที่เล่น/สนามเด็กเล่น และสภาพแวดล้อมภายนอกอาคาร"
"1.3.4","indicator_1_3_4","จัดการสภาพแวดล้อมภายในอาคาร ครุภัณฑ์ อุปกรณ์ เครื่องใช้ให้ปลอดภัยเหมาะสมกับการใช้งาน และเพียงพอ","15","(11)1.3.4 จัดการสภาพแวดล้อมภายในอาคาร ครุภัณฑ์ อุปกรณ์ เครื่องใช้ให้ปลอดภัยเหมาะสมกับการใช้งาน และเพียงพอ"
"1.3.5","indicator_1_3_5","จัดให้มีของเล่นที่ปลอดภัยได้มาตรฐาน มีจำนวนเพียงพอ สะอาด เหมาะสมกับระดับพัฒนาการของเด็ก","16","(12)1.3.5 จัดให้มีของเล่นที่ปลอดภัยได้มาตรฐาน มีจำนวนเพียงพอ สะอาด เหมาะสมกับระดับพัฒนาการของเด็ก"
"1.3.6","indicator_1_3_6","ส่งเสริมให้เด็กปฐมวัยเดินทางอย่างปลอดภัย","17","(13)1.3.6 ส่งเสริมให้เด็กปฐมวัยเดินทางอย่างปลอดภัย"
"1.3.7","indicator_1_3_7","จัดให้มีระบบป้องกันภัยจากบุคคลทั้งภายในและภายนอกสถานพัฒนาเด็กปฐมวัย","18","(14)1.3.7 จัดให้มีระบบป้องกันภัยจากบุคคลทั้งภายในและภายนอกสถานพัฒนาเด็กปฐมวัย"
"1.3.8","indicator_1_3_8","จัดให้มีระบบรับเหตุฉุกเฉิน ป้องกันอัคคีภัย/ภัยพิบัติตามความเสี่ยงของพื้นที่","19","(15)1.3.8 จัดให้มีระบบรับเหตุฉุกเฉิน ป้องกันอัคคีภัย/ภัยพิบัติตามความเสี่ยงของพื้นที่"
"1.4.1","indicator_1_4_1","มีการจัดการเพื่อส่งเสริมสุขภาพ เฝ้าระวังการเจริญเติบโตของเด็ก และดูแลการเจ็บป่วยเบื้องต้น","20","(16)1.4.1 มีการจัดการเพื่อส่งเสริมสุขภาพ เฝ้าระวังการเจริญเติบโตของเด็ก และดูแลการเจ็บป่วยเบื้องต้น"
"1.4.2","indicator_1_4_2","มีแผนและดำเนินการตรวจสุขอนามัยประจำวัน ตรวจสุขภาพประจำปี และป้องกัน ควบคุมโรคติดต่อ","21","(17)1.4.2 มีแผนและดำเนินการตรวจสุขอนามัยประจำวัน ตรวจสุขภาพประจำปี และป้องกัน ควบคุมโรคติดต่อ"
"1.4.3","indicator_1_4_3","อาคารต้องมีพื้นที่ใช้สอยเป็นสัดส่วนตามกิจวัตรประจำวันของเด็กที่เหมาะสมตามช่วงวัย และการใช้ประโยชน์","22","(18)1.4.3 อาคารต้องมีพื้นที่ใช้สอยเป็นสัดส่วนตามกิจวัตรประจำวันของเด็กที่เหมาะสมตามช่วงวัย และการใช้ประโยชน์"
"1.4.4","indicator_1_4_4","จัดให้มีพื้นที่/มุมประสบการณ์ และแหล่งเรียนรู้ในห้องเรียนและนอกห้องเรียน","23","(19)1.4.4 จัดให้มีพื้นที่/มุมประสบการณ์ และแหล่งเรียนรู้ในห้องเรียนและนอกห้องเรียน"
"1.4.5","indicator_1_4_5","จัดบริเวณห้องน้ำ ห้องส้วม ที่แปรงฟัน/ล้างมือให้เพียงพอ สะอาด ปลอดภัย และเหมาะสมกับการใช้งานของเด็ก","24","(20)1.4.5 จัดบริเวณห้องน้ำ ห้องส้วม ที่แปรงฟัน/ล้างมือให้เพียงพอ สะอาด ปลอดภัย และเหมาะสมกับการใช้งานของเด็ก"
"1.4.6","indicator_1_4_6","จัดการระบบสุขาภิบาลที่มีประสิทธิภาพ ครอบคลุมสถานที่ปรุง ประกอบอาหาร น้ำดื่มน้ำใช้ กำจัดขยะ สิ่งปฏิกูล และพาหะนำโรค","25","(21)1.4.6 จัดการระบบสุขาภิบาลที่มีประสิทธิภาพ ครอบคลุมสถานที่ปรุง ประกอบอาหาร น้ำดื่มน้ำใช้ กำจัดขยะ สิ่งปฏิกูล และพาหะนำโรค"
"1.4.7","indicator_1_4_7","จัดอุปกรณ์ภาชนะและเครื่องใช้ส่วนตัวให้เพียงพอกับการใช้งานของเด็กทุกคน และดูแลความสะอาด และปลอดภัยอย่างสม่ำเสมอ","26","(22)1.4.7 จัดอุปกรณ์ภาชนะและเครื่องใช้ส่วนตัวให้เพียงพอกับการใช้งานของเด็กทุกคน และดูแลความสะอาด และปลอดภัยอย่างสม่ำเสมอ"
"1.5.1","indicator_1_5_1","มีการสื่อสารเพื่อสร้างความสัมพันธ์และความเข้าใจอันดีระหว่างพ่อแม่/ผู้ปกครอง กับสถานพัฒนาเด็กปฐมวัย เกี่ยวกับตัวเด็กและการดำเนินงานของสถานพัฒนาเด็กปฐมวัย","27","(23)1.5.1 มีการสื่อสารเพื่อสร้างความสัมพันธ์และความเข้าใจอันดีระหว่างพ่อแม่/ผู้ปกครอง กับสถานพัฒนาเด็กปฐมวัย เกี่ยวกับตัวเด็กและการดำเนินงานของสถานพัฒนาเด็กปฐมวัย"
"1.5.2","indicator_1_5_2","การจัดกิจกรรมที่พ่อแม่/ผู้ปกครอง/ครอบครัว และชุมชนมีส่วนร่วม","28","(24)1.5.2 การจัดกิจกรรมที่พ่อแม่/ผู้ปกครอง/ครอบครัว และชุมชนมีส่วนร่วม"
"1.5.3","indicator_1_5_3","ดำเนินงานให้สถานพัฒนาเด็กปฐมวัยเป็นแหล่งเรียนรู้แก่ชุมชนในเรื่องการพัฒนาเด็กปฐมวัย","29","(25)1.5.3 ดำเนินงานให้สถานพัฒนาเด็กปฐมวัยเป็นแหล่งเรียนรู้แก่ชุมชนในเรื่องการพัฒนาเด็กปฐมวัย"
"1.5.4","indicator_1_5_4","มีคณะกรรมการสถานพัฒนาเด็กปฐมวัย","30","(26)1.5.4 มีคณะกรรมการสถานพัฒนาเด็กปฐมวัย"
"2.1.1","indicator_2_1_1","มีแผนการจัดประสบการณ์การเรียนรู้ที่สอดคล้องกับหลักสูตร การศึกษาปฐมวัย มีการดำเนินงานและประเมินผล","31","(27)2.1.1 มีแผนการจัดประสบการณ์การเรียนรู้ที่สอดคล้องกับหลักสูตร การศึกษาปฐมวัย มีการดำเนินงานและประเมินผล"
"2.1.2","indicator_2_1_2","จัดพื้นที่/มุมประสบการณ์การเรียนรู้และการเล่นที่เหมาะสมอย่างหลากหลาย","32","(28)2.1.2 จัดพื้นที่/มุมประสบการณ์การเรียนรู้และการเล่นที่เหมาะสมอย่างหลากหลาย"
"2.1.3","indicator_2_1_3","จัดกิจกรรมส่งเสริมพัฒนาการทุกด้านอย่างบูรณาการตามธรรมชาติของเด็กที่เรียนรู้ด้วยประสาทสัมผัส ลงมือทำปฎิสัมพันธ์ และการเล่น","33","(29)2.1.3 จัดกิจกรรมส่งเสริมพัฒนาการทุกด้านอย่างบูรณาการตามธรรมชาติของเด็กที่เรียนรู้ด้วยประสาทสัมผัส ลงมือทำปฎิสัมพันธ์ และการเล่น"
"2.1.4","indicator_2_1_4","เลือกใช้สื่อ/อุปกรณ์ เทคโนโลยี เครื่องเล่น และจัดสภาพแวดล้อม ภายใน-ภายนอก แหล่งเรียนรู้ที่เพียงพอ เหมาะสม ปลอดภัย","34","(30)2.1.4 เลือกใช้สื่อ/อุปกรณ์ เทคโนโลยี เครื่องเล่น และจัดสภาพแวดล้อม ภายใน-ภายนอก แหล่งเรียนรู้ที่เพียงพอ เหมาะสม ปลอดภัย"
"2.1.5","indicator_2_1_5","เฝ้าระวังติดตามพัฒนาการเด็กรายบุคคลเป็นระยะ เพื่อใช้ผลในการจัดกิจกรรมพัฒนาเด็กทุกคนให้เต็มตามศักยภาพ","35","(31)2.1.5 เฝ้าระวังติดตามพัฒนาการเด็กรายบุคคลเป็นระยะ เพื่อใช้ผลในการจัดกิจกรรมพัฒนาเด็กทุกคนให้เต็มตามศักยภาพ"
"2.2.1","indicator_2_2_1","ให้เด็กอายุ 6 เดือนขึ้นไป รับประทานอาหารที่ครบถ้วนในปริมาณที่เพียงพอ และส่งเสริมพฤติกรรมการกินที่เหมาะสม","36","(32)2.2.1 ให้เด็กอายุ 6 เดือนขึ้นไป รับประทานอาหารที่ครบถ้วนในปริมาณที่เพียงพอ และส่งเสริมพฤติกรรมการกินที่เหมาะสม"
"2.2.2","indicator_2_2_2","จัดกิจกรรมให้เด็กได้ลงมือปฎิบัติอย่างถูกต้องเหมาะสม ในการดูแลสุขภาพ ความปลอดภัยในชีวิตประจำวัน","37","(33)2.2.2 จัดกิจกรรมให้เด็กได้ลงมือปฎิบัติอย่างถูกต้องเหมาะสม ในการดูแลสุขภาพ ความปลอดภัยในชีวิตประจำวัน"
"2.2.3","indicator_2_2_3","ตรวจสุขภาพอนามัยของเด็กประจำวัน ความสะอาดของร่างกาย ฟัน และช่องปากเพื่อคัดกรองโรคและการบาดเจ็บ","38","(34)2.2.3 ตรวจสุขภาพอนามัยของเด็กประจำวัน ความสะอาดของร่างกาย ฟัน และช่องปากเพื่อคัดกรองโรคและการบาดเจ็บ"
"2.2.4","indicator_2_2_4","เฝ้าระวังติดตามการเจริญเติบโตของเด็กเป็นรายบุคคล บันทึกผลภาวะโภชนาการอย่างต่อเนื่อง","39","(35)2.2.4 เฝ้าระวังติดตามการเจริญเติบโตของเด็กเป็นรายบุคคล บันทึกผลภาวะโภชนาการอย่างต่อเนื่อง"
"2.2.5","indicator_2_2_5","จัดให้มีการตรวจสุขภาพร่างกาย ฟันและช่องปาก สายตา หู ตามกำหนด","40","(36)2.2.5 จัดให้มีการตรวจสุขภาพร่างกาย ฟันและช่องปาก สายตา หู ตามกำหนด"
"2.3.1","indicator_2_3_1","จัดกิจกรรมส่งเสริมให้เด็กได้สังเกต สัมผัส ลองทำ คิดตั้งคำถาม สืบเสาะหาความรู้ แก้ปัญหา จินตนาการ คิดสร้างสรรค์ โดยยอมรับความคิดและผลงานที่แตกต่างของเด็ก","41","(37)2.3.1 จัดกิจกรรมส่งเสริมให้เด็กได้สังเกต สัมผัส ลองทำ คิดตั้งคำถาม สืบเสาะหาความรู้ แก้ปัญหา จินตนาการ คิดสร้างสรรค์ โดยยอมรับความคิดและผลงานที่แตกต่างของเด็ก"
"2.3.2","indicator_2_3_2","จัดกิจกรรมและประสบการณ์ทางภาษาที่มีความหมายต่อเด็ก เพื่อการสื่อสารอย่างหลากหลาย ฝึกฟัง พูด ถาม ตอบ เล่าและสนทนาตามลำดับขั้นตอนพัฒนาการ","42","(38)2.3.2 จัดกิจกรรมและประสบการณ์ทางภาษาที่มีความหมายต่อเด็ก เพื่อการสื่อสารอย่างหลากหลาย ฝึกฟัง พูด ถาม ตอบ เล่าและสนทนาตามลำดับขั้นตอนพัฒนาการ"
"2.3.3","indicator_2_3_3","จัดกิจกรรมปลูกฝังให้เด็กมีนิสัยรักการอ่าน ให้เด็กมีทักษะการดูภาพ ฟังเรื่องราว พูดเล่า อ่าน วาด/เขียน เบื้องต้น ตามลำดับพัฒนาการ โดยครู/ผู้ดูแลเด็ก เป็นตัวอย่างของการพูด และการอ่านที่ถูกต้อง","43","(39)2.3.3 จัดกิจกรรมปลูกฝังให้เด็กมีนิสัยรักการอ่าน ให้เด็กมีทักษะการดูภาพ ฟังเรื่องราว พูดเล่า อ่าน วาด/เขียน เบื้องต้น ตามลำดับพัฒนาการ โดยครู/ผู้ดูแลเด็ก เป็นตัวอย่างของการพูด และการอ่านที่ถูกต้อง"
"2.3.4","indicator_2_3_4","จัดให้เด็กมีประสบการณ์เรียนรู้เกี่ยวกับตัวเด็ก บุคคล สิ่งต่างๆ สถานที่ และธรรมชาติรอบตัวด้วยวิธีการที่เหมาะสมกับวัยและพัฒนาการ","44","(40)2.3.4 จัดให้เด็กมีประสบการณ์เรียนรู้เกี่ยวกับตัวเด็ก บุคคล สิ่งต่างๆ สถานที่ และธรรมชาติรอบตัวด้วยวิธีการที่เหมาะสมกับวัยและพัฒนาการ"
"2.3.5","indicator_2_3_5","จัดกิจกรรมและประสบการณ์ด้านคณิตศาสตร์และวิทยาศาสตร์ เบื้องต้นตามวัย โดยเด็กเรียนรู้ผ่านประสาทสัมผัสและลงมือปฎิบัติ ด้วยตัวเอง","45","(41)2.3.5 จัดกิจกรรมและประสบการณ์ด้านคณิตศาสตร์และวิทยาศาสตร์ เบื้องต้นตามวัย โดยเด็กเรียนรู้ผ่านประสาทสัมผัสและลงมือปฎิบัติ ด้วยตัวเอง"
"2.4.1","indicator_2_4_1","สร้างความสัมพันธ์ที่ดีและมั่นคง ระหว่างผู้ใหญ่กับเด็ก จัดกิจกรรม สร้างเสริมความสัมพันธ์ที่ดีระหว่างเด็กกับเด็ก และการแก้ไข ข้อขัดแย้งอย่างสร้างสรรค์","46","(42)2.4.1 สร้างความสัมพันธ์ที่ดีและมั่นคง ระหว่างผู้ใหญ่กับเด็ก จัดกิจกรรม สร้างเสริมความสัมพันธ์ที่ดีระหว่างเด็กกับเด็ก และการแก้ไข ข้อขัดแย้งอย่างสร้างสรรค์"
"2.4.2","indicator_2_4_2","จัดกิจกรรมส่งเสริมให้เด็กมีความสุข แจ่มใส ร่าเริง ได้แสดงออกด้านอารมณ์ ความรู้สึกที่ดีต่อตนเอง โดยผ่านการเคลื่อนไหวร่างกาย ศิลปะ ดนตรี ตามความสนในและความถนัด","47","(43)2.4.2 จัดกิจกรรมส่งเสริมให้เด็กมีความสุข แจ่มใส ร่าเริง ได้แสดงออกด้านอารมณ์ ความรู้สึกที่ดีต่อตนเอง โดยผ่านการเคลื่อนไหวร่างกาย ศิลปะ ดนตรี ตามความสนในและความถนัด"
