"assessment_year_be","assessment_year_ce","ministry","affiliation_1","affiliation_2","affiliation_3","center_age_years","prev_indicator_1_1_1","prev_indicator_1_1_2","prev_indicator_1_1_3","prev_indicator_1_2_1","prev_indicator_1_2_2","prev_indicator_1_2_3","prev_indicator_1_2_4","prev_indicator_1_3_1","prev_indicator_1_3_2","prev_indicator_1_3_3","prev_indicator_1_3_4","prev_indicator_1_3_5","prev_indicator_1_3_6","prev_indicator_1_3_7","prev_indicator_1_3_8","prev_indicator_1_4_1","prev_indicator_1_4_2","prev_indicator_1_4_3","prev_indicator_1_4_4","prev_indicator_1_4_5","prev_indicator_1_4_6","prev_indicator_1_4_7","prev_indicator_1_5_1","prev_indicator_1_5_2","prev_indicator_1_5_3","prev_indicator_1_5_4","prev_indicator_2_1_1","prev_indicator_2_1_2","prev_indicator_2_1_3","prev_indicator_2_1_4","prev_indicator_2_1_5","prev_indicator_2_2_1","prev_indicator_2_2_2","prev_indicator_2_2_3","prev_indicator_2_2_4","prev_indicator_2_2_5","prev_indicator_2_3_1","prev_indicator_2_3_2","prev_indicator_2_3_3","prev_indicator_2_3_4","prev_indicator_2_3_5","prev_indicator_2_4_1","prev_indicator_2_4_2","prev_indicator_2_4_3","prev_indicator_2_5_1","prev_indicator_2_5_2","prev_indicator_3_1_1ก","prev_indicator_3_2_1ก","prev_indicator_3_2_2ก","prev_indicator_3_2_3ก","prev_indicator_3_2_4ก","prev_indicator_3_2_5ก","prev_indicator_3_2_6ก","prev_indicator_3_1_1ข","prev_indicator_3_1_2ข","prev_indicator_3_1_3ข","prev_indicator_3_2_1ข","prev_indicator_3_3_1ข","prev_indicator_3_3_2ข","prev_indicator_3_4_1ข","prev_indicator_3_4_2ข","prev_indicator_3_4_3ข","prev_indicator_3_5_1ข","prev_indicator_3_5_2ข","prev_indicator_3_5_3ข","prev_indicator_3_5_4ข","prev_indicator_3_5_5ข","prev_indicator_3_6_1ข","prev_indicator_3_6_2ข","prev_indicator_3_6_3ข","prev_indicator_3_6_4ข","prev_indicator_3_7_1ข","prev_indicator_3_7_2ข","prev_indicator_3_7_3ข","prev_indicator_3_7_4ข","prev_ImproveScore","prev_Quality_level","prev_target_label","past_2yr_fail_rate","past_3yr_avg_ImproveScore","consecutive_pass_years","consecutive_fail_years","ever_failed_before","target_label","Quality_level"
"2563","2020","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","35.8412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","ผ่าน","A"
"2566","2023","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","38.8392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","ผ่าน","A"
"2567","2024","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","39.8412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","0","1","0","0","ผ่าน","A"
"2563","2020","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","34.423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","ผ่าน","A"
"2566","2023","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","37.4209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","ผ่าน","B"
"2567","2024","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","38.423","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","B","ผ่าน","0","1","1","0","0","ผ่าน","B"
"2568","2025","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","39.4223","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","B","ผ่าน","0","3.5","2","0","0","ผ่าน","A"
"2563","2020","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","33.8316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","ผ่าน","B"
"2565","2022","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","35.8303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","0","0","0","ผ่าน","B"
"2566","2023","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","36.8296","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","B","ผ่าน","0","3","1","0","0","ผ่าน","A"
"2567","2024","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","37.8316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","1","2","0","0","ผ่าน","A"
"2568","2025","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","38.8309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","0.666667","3","0","0","ผ่าน","A"
"2563","2020","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","ผ่าน","C"
"2566","2023","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","0","0","ผ่าน","B"
"2567","2024","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","4","B","ผ่าน","0","4","1","0","0","ผ่าน","B"
"2568","2025","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","0.627","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","B","ผ่าน","0","2.5","2","0","0","ผ่าน","B"
"2563","2020","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","29.7988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","ผ่าน","A"
"2566","2023","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","32.7967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","ผ่าน","B"
"2567","2024","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","33.7988","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","B","ผ่าน","0","1","1","0","0","ผ่าน","B"
"2568","2025","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","34.7981","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","B","ผ่าน","0","1","2","0","0","ผ่าน","B"
"2563","2020","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","18.6283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","ผ่าน","A"
"2564","2021","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","19.6277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","0","1","0","0","ผ่าน","A"
"2565","2022","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","20.627","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","0","2","0","0","ผ่าน","A"
"2566","2023","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","21.6263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","0","3","0","0","ผ่าน","A"
"2567","2024","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 11","22.6283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A","ผ่าน","0","0","4","0","0","ผ่าน","A"
