"metric_category","metric_name","metric_value","detail"
"dataset_overview","source_file_count","6","Number of annual source files included."
"rows_by_year","assessment_year_be_2563","193","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls"
"rows_by_year","assessment_year_be_2564","155","8. 2564 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls"
"rows_by_year","assessment_year_be_2565","155","9. 2565 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls"
"rows_by_year","assessment_year_be_2566","196","10. 2566 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls"
"rows_by_year","assessment_year_be_2567","181","11. 2567 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls"
"rows_by_year","assessment_year_be_2568","174","12. 2568 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls"
"dataset_overview","total_rows","1054","Total rows across all years."
"dataset_overview","distinct_education_centers","216","Distinct center_code_anon count."
"dataset_overview","indicator_column_count","75","Count of indicator_* columns."
"quality_level_distribution","A","690","Distribution of Quality_level."
"quality_level_distribution","B","327","Distribution of Quality_level."
"quality_level_distribution","C","13","Distribution of Quality_level."
"quality_level_distribution","D","24","Distribution of Quality_level."
"target_label_distribution","ไม่ผ่าน","24","Distribution of target_label."
"target_label_distribution","ผ่าน","1030","Distribution of target_label."
"missing_values","assessment_year_be","0","Important field missing count in dataset_clean."
"missing_values","assessment_year_ce","0","Important field missing count in dataset_clean."
"missing_values","record_key","0","Important field missing count in dataset_clean."
"missing_values","center_code_anon","0","Important field missing count in dataset_clean."
"missing_values","ministry","0","Important field missing count in dataset_clean."
"missing_values","sub_agency_1","0","Important field missing count in dataset_clean."
"missing_values","sub_agency_2","1","Important field missing count in dataset_clean."
"missing_values","sub_agency_3","1","Important field missing count in dataset_clean."
"missing_values","opening_date_iso","73","Important field missing count in dataset_clean."
"missing_values","Quality_level","0","Important field missing count in dataset_clean."
"missing_values","target_label","0","Important field missing count in dataset_clean."
"duplicate_check","duplicate_record_key_groups","0","Count of duplicated record_key groups."
"duplicate_check","duplicate_record_key_rows","0","Rows involved in duplicated record_key groups."
"validation","indicator_binary_only","pass","All indicator_* values are 0/1."
"validation","indicator_non_binary_row_count","0","Total non-binary indicator cell count."
"validation","ImproveScore_matches_indicator_sum","pass","Mismatch row count=0"
"validation","target_label_matches_quality_level","pass","Mismatch row count=0"
